index,domain,title,venue,year,citations,url,openAccessPdf,pdf_download_status,pdf_file
12,PL,A specification for dependent types in Haskell,Proceedings of the ACM on Programming Languages,2017,43,https://doi.org/10.1145/3110275,https://richarde.dev/papers/2017/dep-haskell-spec/dep-haskell-spec.pdf,downloaded,data/papers_pdf/012_2017_A_specification_for_dependent_types_in_Haskell.pdf
13,PL,TLA+ model checking made symbolic,Proceedings of the ACM on Programming Languages,2019,44,https://doi.org/10.1145/3360549,https://dl.acm.org/doi/pdf/10.1145/3360549,downloaded,data/papers_pdf/013_2019_TLA_model_checking_made_symbolic.pdf
14,PL,Rigorous Estimation of Floating-Point Round-Off Errors with Symbolic Taylor Expansions,ACM Transactions on Programming Languages and Systems,2018,93,https://doi.org/10.1145/3230733,https://dl.acm.org/doi/pdf/10.1145/3230733,downloaded,data/papers_pdf/014_2018_Rigorous_Estimation_of_Floating-Point_Round-Off_Errors_with_Symbolic_Taylor_Expansions.pdf
15,AI,A survey of safety and trustworthiness of large language models through the lens of verification and validation,Artificial Intelligence Review,2024,98,https://doi.org/10.1007/s10462-024-10824-0,https://link.springer.com/content/pdf/10.1007/s10462-024-10824-0.pdf,downloaded,data/papers_pdf/015_2024_A_survey_of_safety_and_trustworthiness_of_large_language_models_through_the_lens_of_verification_and_validation.pdf
16,AI,Are Transformers Effective for Time Series Forecasting?,Proceedings of the AAAI Conference on Artificial Intelligence,2023,2373,https://doi.org/10.1609/aaai.v37i9.26317,https://ojs.aaai.org/index.php/AAAI/article/download/26317/26089,downloaded,data/papers_pdf/016_2023_Are_Transformers_Effective_for_Time_Series_Forecasting.pdf
17,AI,Robust Face Recognition via Sparse Representation,IEEE Transactions on Pattern Analysis and Machine Intelligence,2009,9488,https://doi.org/10.1109/tpami.2008.79,https://www.ideals.illinois.edu/items/110962/bitstreams/363644/data.pdf,downloaded,data/papers_pdf/017_2009_Robust_Face_Recognition_via_Sparse_Representation.pdf
18,AI,Learning from imbalanced data: open challenges and future directions,Progress in Artificial Intelligence,2016,2369,https://doi.org/10.1007/s13748-016-0094-0,https://link.springer.com/content/pdf/10.1007/s13748-016-0094-0.pdf,downloaded,data/papers_pdf/018_2016_Learning_from_imbalanced_data_open_challenges_and_future_directions.pdf
19,AI,A Survey of Outlier Detection Methodologies,Artificial Intelligence Review,2004,3321,https://doi.org/10.1023/b:aire.0000045502.10941.a9,https://eprints.whiterose.ac.uk/767/1/hodgevj4.pdf,downloaded,data/papers_pdf/019_2004_A_Survey_of_Outlier_Detection_Methodologies.pdf
20,AI,From Frequency to Meaning: Vector Space Models of Semantics,Journal of Artificial Intelligence Research,2010,2865,https://doi.org/10.1613/jair.2934,https://jair.org/index.php/jair/article/download/10640/25440,downloaded,data/papers_pdf/020_2010_From_Frequency_to_Meaning_Vector_Space_Models_of_Semantics.pdf
21,AI,Automated Hate Speech Detection and the Problem of Offensive Language,Proceedings of the International AAAI Conference on Web and Social Media,2017,2414,https://doi.org/10.1609/icwsm.v11i1.14955,https://ojs.aaai.org/index.php/ICWSM/article/download/14955/14805,downloaded,data/papers_pdf/021_2017_Automated_Hate_Speech_Detection_and_the_Problem_of_Offensive_Language.pdf
22,AI,"Deep learning modelling techniques: current progress, applications, advantages, and challenges",Artificial Intelligence Review,2023,867,https://doi.org/10.1007/s10462-023-10466-8,https://link.springer.com/content/pdf/10.1007/s10462-023-10466-8.pdf,downloaded,data/papers_pdf/022_2023_Deep_learning_modelling_techniques_current_progress_applications_advantages_and_challenges.pdf
23,AI,Ensemble deep learning: A review,Engineering Applications of Artificial Intelligence,2022,1952,https://doi.org/10.1016/j.engappai.2022.105151,https://www.sciencedirect.com/science/article/pii/S095219762200269X,downloaded,data/papers_pdf/023_2022_Ensemble_deep_learning_A_review.pdf
24,AI,Automatic Construction and Natural-Language Description of Nonparametric Regression Models,Proceedings of the AAAI Conference on Artificial Intelligence,2014,126,https://doi.org/10.1609/aaai.v28i1.8904,https://ojs.aaai.org/index.php/AAAI/article/download/8904/8763,downloaded,data/papers_pdf/024_2014_Automatic_Construction_and_Natural-Language_Description_of_Nonparametric_Regression_Models.pdf
25,Cybersecurity,Basic concepts and taxonomy of dependable and secure computing,IEEE Transactions on Dependable and Secure Computing,2004,5096,https://doi.org/10.1109/tdsc.2004.2,https://api.drum.lib.umd.edu/server/api/core/bitstreams/ed07fa96-1e50-4309-afdd-43d3d779ac99/content,downloaded,data/papers_pdf/025_2004_Basic_concepts_and_taxonomy_of_dependable_and_secure_computing.pdf
