seed_id,seed_file,seed_source,seed_stratum,proof_profile,license,source_repo,source_path,seed_verify_outcome,seed_verify_time_sec,seed_verify_reason
summax,summax_seed.dfy,dafny-lang/dafny official example,benchmark_example_suite,loop_invariant_and_postcondition,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/VSComp2010/Problem1-SumMax.dfy,pass,1.121,verified cleanly
invert,invert_seed.dfy,dafny-lang/dafny official example,benchmark_example_suite,assertion_heavy_quantifier_reasoning,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/VSComp2010/Problem2-Invert.dfy,pass,0.957,verified cleanly
findzero,findzero_seed.dfy,dafny-lang/dafny official example,benchmark_example_suite,ghost_state_and_object_invariant_reasoning,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/VSComp2010/Problem3-FindZero.dfy,pass,1.035,verified cleanly
queens,queens_seed.dfy,dafny-lang/dafny official example,benchmark_example_suite,backtracking_search_with_quantified_invariants,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/VSComp2010/Problem4-Queens.dfy,pass,1.147,verified cleanly
deque,deque_seed.dfy,dafny-lang/dafny official example,benchmark_example_suite,object_invariants_and_dynamic_frames,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/VSComp2010/Problem5-DoubleEndedQueue.dfy,pass,2.565,verified cleanly
twowaysort,twowaysort_seed.dfy,dafny-lang/dafny official example,proof_engineering_case,array_permutation_and_loop_invariant_reasoning,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/vstte2012/Two-Way-Sort.dfy,pass,1.172,verified cleanly
ringbuffer,ringbuffer_seed.dfy,dafny-lang/dafny official example,proof_engineering_case,object_invariants_and_sequence_view_reasoning,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/vstte2012/RingBuffer.dfy,pass,1.547,verified cleanly
bfs,bfs_seed.dfy,dafny-lang/dafny official example,proof_engineering_case,graph_reachability_and_ghost_map_reasoning,MIT,https://github.com/dafny-lang/dafny,Source/IntegrationTests/TestFiles/LitTests/LitTest/vstte2012/BreadthFirstSearch.dfy,pass,3.906,verified cleanly
